panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_blockage_pct,sem_blockage_pct,sd_blockage_pct,median_blockage_pct,mean_blockage_ratio,sem_blockage_ratio,delta_mean_blockage_ratio,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,36.86529504951183,3.6013112670700704,14.405245068280282,36.41252690101922,0.3686529504951183,0.0360131126707007,0.0081044540894154,16,42.7593116032774,41.04028303643473,13.892063492063489,31.04235071512048,34.10838740687335,55.23123893391764,29.57142857142857,68.81579644679704,46.64752731987405,47.22481495148581,38.7166663951651,33.37598962598962,12.10300429184549,27.432167151096433,42.36841665133548,25.51527419948473
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,51.654486003793096,3.0540382862927875,12.21615314517115,48.65422061235507,0.516544860037931,0.030540382862927876,0.0072164619377357,16,69.4428188246769,49.01157981803143,40.21587301587301,44.40981690689521,41.66666666666667,69.75834025446088,48.29686140667871,66.26707537725936,71.74221527766706,47.77801539777587,51.568736051607026,57.72420147420148,51.072961373390555,43.588609274871395,44.93462989462729,28.99337504600662
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,35.25070663327893,3.5830649115751947,14.332259646300779,32.66054293879001,0.3525070663327893,0.03583064911575195,0.0075989202469052,16,41.37362133756989,31.144899513681366,13.892063492063489,27.422744128553774,32.746762500774516,50.37763281036859,29.57142857142857,67.52203436898725,55.28252346950035,38.163163991395,38.7166663951651,32.574323376805495,12.10300429184549,25.529695223428302,42.0754684614109,25.51527419948473
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,49.76973365579094,3.1795232348975597,12.718092939590239,46.52287944013468,0.4976973365579094,0.0317952323489756,0.0071467647920541,16,62.135807401488584,40.38505615402246,40.21587301587301,41.29763130792997,41.53247858054323,64.57755133037847,48.29686140667871,65.83772498976779,77.59332447957502,39.12576137585095,51.568736051607026,57.38201028583424,51.072961373390555,41.55168822011762,44.748897473590645,28.99337504600662
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,41.778628812608396,4.522412899594273,18.089651598377092,36.93129481231397,0.417786288126084,0.045224128995942726,0.0190503860377041,16,68.81308121409351,44.48088374902908,16.18083003952569,33.270451037557876,34.60038986354776,67.369270683194,28.96523178807947,69.75783772122445,65.53118898276318,49.117480136208854,38.47460866979589,35.38798095483206,13.626609442060081,33.687150837988824,43.49586496859153,25.69920091324201
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,53.91223502585139,3.7654053965048124,15.06162158601925,48.4968707936765,0.5391223502585138,0.037654053965048125,0.0132316080343135,16,78.54412270422047,49.37604528496076,41.847826086956516,46.34188180804529,42.57634827810266,76.60970985349037,47.451584150393,66.22363990785043,80.71780881711044,47.61769630239224,49.84601660896714,58.80066915454897,61.69527896995708,44.49415204678362,41.91416765445502,28.538812785388128
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,37.93912545146389,3.581007017539423,14.324028070157691,36.93129481231397,0.3793912545146389,0.035810070175394226,0.018842758108936,16,44.50773806523164,44.65228023510232,16.18083003952569,33.270451037557876,34.60038986354776,55.837524460944785,28.96523178807947,69.65596977700098,46.78307337318504,48.48002776733289,38.47460866979589,35.38798095483206,13.626609442060081,27.488428745432397,43.4156620905513,25.69920091324201
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,52.32944090046874,3.11504971114815,12.4601988445926,48.42808020094343,0.5232944090046874,0.0311504971114815,0.0139660109044921,16,69.28844801999531,49.38049303322615,41.847826086956516,46.35568513119533,42.57634827810266,70.27045943108534,47.451584150393,66.1948315351929,71.24340814528301,47.4756673686607,49.84601660896714,58.80066915454897,61.69527896995708,44.264380036366155,42.04114567218147,28.538812785388128
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,36.25537732092346,3.51845160172629,14.07380640690516,34.23177731706606,0.3625537732092346,0.0351845160172629,0.0176456271233506,16,43.05848997451031,33.97649424926152,16.18083003952569,29.314488991443127,33.07239057239057,51.13800891874675,28.96523178807947,68.2728356312974,55.47097972640488,39.24743041157528,38.47460866979589,34.4870603848706,13.626609442060081,26.094809886425658,43.00656753514624,25.69920091324201
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,50.46435478865091,3.2647245316894375,13.05889812675775,45.340032045059,0.5046435478865091,0.03264724531689438,0.0140929761206538,16,62.99226071390965,40.40105800578212,41.847826086956516,43.22847993972499,42.54497658752978,65.3844109532116,47.451584150393,65.71493949950487,76.75789224348844,38.63418042092393,49.84601660896714,58.43241096253144,61.69527896995708,42.29998998698308,41.65955870316283,28.538812785388128
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.09612539046949,4.609509012018938,18.43803604807575,34.796406015799604,0.3909612539046949,0.04609509012018938,-0.0077746481836848,16,67.7296582319649,37.60660359181852,12.19630709426627,29.31820117536837,32.22610722610722,65.39388892193604,27.755281690140837,67.27605982680667,64.81972176368386,44.69261675379098,37.36670480549199,30.86458374066398,11.03965702036441,32.19786094544802,40.003908379359636,25.05084508030016
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,48.85246056831533,4.161715364161783,16.64686145664713,43.65003247355166,0.4885246056831533,0.041617153641617825,-0.0373661365410469,16,77.51116950000525,45.43326472131412,35.4632329122125,40.32316206874615,37.92307692307692,74.67775841562249,43.87408568443051,64.38917268101488,79.56056155447989,43.42597926267281,49.16189931350114,52.22148359598013,26.848874598070736,40.50503953705241,42.45750432037699,27.86310400448839
