sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,model,direction,city_count,mean_R,sd_R,median_R,mean_blockage_rate,sd_blockage_rate,median_blockage_rate,mean_FA,sd_FA,median_FA,delta_mean_R,delta_mean_blockage,delta_mean_FA
poverty_threshold,P35,35,50,IOM,HPM_to_LPW,16,1.2793141918298807,0.5101989484308928,1.171461968046032,0.36865295049511837,0.14405245068280287,0.36412526901019227,0.7018657928445504,0.058628558911862895,0.706724836375825,0.0030847882119267034,0.008104454089415458,-0.00023954641746670724
poverty_threshold,P35,35,50,IOM,LPW_to_HPM,16,0.6830389954445512,0.22914381510174187,0.6933005360889237,0.516544860037931,0.12216153145171156,0.4865422061235507,0.7018657928445504,0.058628558911862895,0.706724836375825,0.023284486080051625,0.00721646193773573,-0.00023954641746670724
poverty_threshold,P35,35,50,Choice_IOM,HPM_to_LPW,16,1.1427860789444073,0.37465405049335104,1.1083145879138283,0.3525070663327893,0.14332259646300788,0.3266054293879001,0.7018657928445504,0.058628558911862895,0.706724836375825,0.006066766351676689,0.0075989202469052275,-0.00023954641746670724
poverty_threshold,P35,35,50,Choice_IOM,LPW_to_HPM,16,0.6931344086548122,0.23037856218510694,0.6802210360218324,0.4976973365579094,0.1271809293959024,0.4652287944013468,0.7018657928445504,0.058628558911862895,0.706724836375825,0.017678902442060274,0.007146764792054117,-0.00023954641746670724
poverty_threshold,P40,40,50,Gravity,HPM_to_LPW,16,1.0015095200547104,0.2284679483847363,1.0775915701899081,0.417786288126084,0.18089651598377096,0.36931294812313975,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.003575476443709591,0.019050386037704148,0.0033707452697790963
poverty_threshold,P40,40,50,Gravity,LPW_to_HPM,16,0.6199606466256675,0.2047893558848282,0.5848279739950721,0.5391223502585138,0.15061621586019258,0.484968707936765,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.06567094790034145,0.013231608034313558,0.0033707452697790963
poverty_threshold,P40,40,50,IOM,HPM_to_LPW,16,1.2913935362655973,0.5036197977017806,1.2119397215007155,0.37939125451463895,0.14324028070157693,0.36931294812313975,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.01516413264764327,0.018842758108936042,0.0033707452697790963
poverty_threshold,P40,40,50,IOM,LPW_to_HPM,16,0.7734143730147656,0.26113426699752423,0.7490663291349386,0.5232944090046874,0.12460198844592603,0.4842808020094343,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.11365986365026604,0.013966010904492121,0.0033707452697790963
poverty_threshold,P40,40,50,Choice_IOM,HPM_to_LPW,16,1.1602455834123704,0.37775309918849165,1.1349659714351124,0.36255377320923465,0.1407380640690516,0.3423177731706606,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.02352627081963976,0.017645627123350605,0.0033707452697790963
poverty_threshold,P40,40,50,Choice_IOM,LPW_to_HPM,16,0.7592995763884303,0.3039056779912327,0.7341490017706518,0.5046435478865091,0.13058898126757754,0.45340032045059,0.7054760845317962,0.07419668600890901,0.7052247243875882,0.0838440701756783,0.014092976120653855,0.0033707452697790963
