panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_R,sem_R,sd_R,median_R,delta_mean_R_vs_baseline,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P40,40,50,40,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.7592995763884303,0.07597641949780817,0.3039056779912327,0.7341490017706518,0.0838440701756783,16,1.2137100260150455,1.5531935063213993,0.6591852891320168,0.716964773301789,0.7579090561549263,0.988679282829513,0.4465386995565979,0.6937692116447657,0.7962494886403014,0.7513332302395145,0.7663514168270277,0.6910951149713853,0.348997861635105,0.8529556123787463,0.5418451508885597,0.3700155016781916
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,1.0103417110695605,0.04879989929449227,0.1951995971779691,1.078590524458681,0.0124076674585597,16,1.1472868055340326,1.121012673944179,1.2460268588748316,1.163018604891518,0.99263716497698,1.1952366798669152,1.0341650220565564,0.9771750251504678,1.124190870746714,0.8459453351417296,1.0940033772035185,1.092697162405836,0.873502351711623,1.0644838865115265,0.5320103888938131,0.6620751692027265
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.7053246205611965,0.07356649943396973,0.2942659977358789,0.6369274590586549,0.1510349218358704,16,0.5571227213604855,0.8050239431393179,0.6851542707294117,0.5655347978230036,0.6946120541210711,0.6456592865216777,0.5541497524852783,0.6281956315956322,0.6032622512709511,0.6670652084730193,0.8071400503971792,0.595261603098106,1.7543151850968246,0.7114882763099274,0.5065220900595422,0.5046868064977165
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2280336063451915,0.09283549407068314,0.3713419762827326,1.2349348856773643,-0.0481957972727624,16,1.8612408849894704,1.2091899741791132,1.0929886960596131,1.4613495287065947,1.3328011125847044,1.7635508393671804,1.1466297479030276,1.2572075706942247,1.7508143679305204,0.9276149598099368,1.2921872173315203,1.212662200660504,0.8802477828014226,1.261194809228499,0.5324770508404889,0.666380958436244
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.8105683423931804,0.08174480982178935,0.3269792392871574,0.7577064642936436,0.1508138330286809,16,0.9137055709694666,0.8335773825138755,0.7562093418124541,0.5742082583570473,0.9135396556551576,0.9528381936727384,0.5179213535950687,0.7592035867748331,0.8814733061573726,0.7267351227897101,0.8414608266030292,0.6355892256086589,1.897922388391564,0.7522652372444405,0.5065695887154713,0.5058744394299997
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1197844733436022,0.0712721277078892,0.2850885108315568,1.1330753076144735,-0.0169348392491284,16,1.6247466396452566,1.0981475383339303,1.2638039612357126,1.2005226256523334,1.3750694116628792,1.431624030768689,1.0453971476512194,1.077365150945007,1.3889626579173102,0.873225130166935,1.1199756075912697,1.213325299765691,0.871031400161215,1.146175007637678,0.5290325274637965,0.6581474368987107
Panel B: Composition Sensitivity,composition_threshold,C40,30,40,40,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.8121344765013201,0.06386519703491693,0.2554607881396677,0.8018297215583479,0.1366789702885681,16,1.0308968213327296,0.9837554275379876,0.6441709870617376,0.6616177568447615,0.9536112068341546,0.8274044117890051,0.5934556079897012,0.765511099036822,0.7800899229955542,0.8235695201211415,0.875444334888468,0.6426537377527595,1.5628751347964034,0.829025067528984,0.5192093602338296,0.5008612272770825
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,0.99736691154777,0.05089599543793955,0.2035839817517582,1.0366772607618104,-0.0005671320632308,16,1.1538305781700653,1.06820968170876,1.2197638756522386,1.2089574912654464,0.9824994928442444,1.1928437761608215,1.0399782936077375,0.9676978037978876,1.1234264040308457,0.8405186541813819,1.1261541954669645,1.0013759794448602,0.8673377585523048,1.0333762279158831,0.4977661284906054,0.6341342434742719
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.610482265494517,0.023119491492196925,0.0924779659687877,0.6141722893862447,0.0561925667691909,16,0.5144677948470809,0.736099812062495,0.639555239580572,0.5419218751108646,0.6810275655679986,0.6479830915412845,0.5103114814146994,0.5713642755605182,0.5887893391919174,0.6741523624998362,0.6992677719536216,0.5595072297046121,0.7766052039363301,0.6665921820271827,0.4781253471658102,0.4819456757474483
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.2463301151314856,0.10628808474839803,0.4251523389935921,1.204177586832668,-0.0298992884864683,16,2.083673455152904,1.190256260492348,1.0684834493393771,1.592414099963554,1.307606767478392,1.8322015746371216,1.1594621188511514,1.2793472715338143,1.7912248981440275,0.9273248318078106,1.362048663466066,1.125682005692369,0.865737091218254,1.218098913172988,0.4988988898353844,0.6388215513182065
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.7155111836288923,0.04051562160438652,0.1620624864175461,0.7199887340338189,0.0557566742643927,16,0.9027414847481224,0.7786114048493478,0.703930703041678,0.5436440978643472,0.8937960172718213,0.9941201423717196,0.4795180365284364,0.7057604721412799,0.8821956362289908,0.741341952031458,0.734216995926358,0.6114198458774136,0.8145240334157853,0.7012614510172501,0.4799529143261336,0.4811437504221346
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1201166787310552,0.07840852870074545,0.3136341148029818,1.1298874901910714,-0.0166026338616753,16,1.7748116697155136,1.053473871900998,1.2332943488336046,1.232862299762726,1.3507776343508575,1.457227279377778,1.0617219572384984,1.0822741935060258,1.4060853392205273,0.8696835257111557,1.1548414320734064,1.1346614751020412,0.8610388020653895,1.1251135052801011,0.494286074645161,0.6297134509130985
Panel B: Composition Sensitivity,composition_threshold,C45,30,45,45,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.7272307155635532,0.04036480771952267,0.1614592308780907,0.7341659816338063,0.0517752093508012,16,1.0360747263096808,0.917717105742177,0.6012971476226521,0.6547975286501214,0.9273392425371773,0.8481683373175833,0.5480478610676965,0.704338735289527,0.76777299324504,0.8360507999043978,0.7639932279780857,0.6064076691164788,0.6816983346789851,0.7720200263298744,0.4912815653923762,0.4786861478349988
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,0.9979340436110008,0.05616344957869687,0.2246537983147875,1.0089507447592905,0.0,16,1.1419841472380603,1.021092006260449,1.2396272030111632,1.3011259725835356,0.9725085644619652,1.2170566086690655,1.0663536337188624,0.8822273239179913,1.1481835534967566,0.8251049073094321,1.1550042464247603,0.9521047839348504,0.982445289460314,0.9968094832581316,0.476704057017707,0.5886129170129683
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5542896987253261,0.0248888755150768,0.0995555020603072,0.5481376742816992,0.0,16,0.4709207012458803,0.7618179689174482,0.6287903193540229,0.5305470138311773,0.5566891468315484,0.6014652585370672,0.4781294744100196,0.5590344997334394,0.5395862017318501,0.6547643406569357,0.6637445635800341,0.4976677868225468,0.3992238961054806,0.6470148639482177,0.4442706862334406,0.4349684576661092
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.276229403617954,0.12113729735695165,0.4845491894278066,1.1880500795581757,0.0,16,2.291534028812919,1.1455478179094425,1.089143079569744,1.722191754857885,1.3245506028515035,1.947070648983953,1.2073858082823363,1.1993882582193454,1.886931349351756,0.9214205968060816,1.4120754547196717,1.068440111388084,0.9566202484168088,1.176711900897006,0.4778363940588148,0.5928224027619131
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6597545093644995,0.04270926458324935,0.1708370583329974,0.697265672514841,0.0,16,0.8738117183453035,0.8029098772278301,0.6904248989589928,0.522369666600433,0.747126029044875,0.9714420895251922,0.4574067126128224,0.704106446070689,0.8260058394539773,0.7289221408266312,0.7064122532260153,0.5524507314888353,0.4119995962899239,0.6793439488923266,0.4469440626301899,0.4343961386379547
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,1.1367193125927306,0.08707244875190517,0.3482897950076207,1.0953075282562086,0.0,16,1.8930793925290383,1.0016520362602468,1.249319989336143,1.3306824909232278,1.3661397241714264,1.5160602060261854,1.0951503497705986,1.0021749408569185,1.4637611677952178,0.8592279183140753,1.1906466045584758,1.0954647067418186,0.9765154999445206,1.0908891931106677,0.4731755297220164,0.5835692514231159
Panel B: Composition Sensitivity,composition_threshold,P30_Baseline,30,50,50,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,0.675455506212752,0.045709490552679824,0.1828379622107193,0.7092197042331906,0.0,16,1.021281343132446,0.9420709787388116,0.590978882106344,0.6423984328532665,0.772912711536905,0.8090426734465718,0.5114559089011955,0.704410762590768,0.7140286458756132,0.8239331588755608,0.7252089511498089,0.537739304514325,0.3738691116254513,0.7475212209273236,0.4578396668614826,0.4325963462681563
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,0.9545046518237784,0.061368075421855,0.24547230168742,0.9582714384419704,-0.0434293917872223,16,1.1356963022598103,0.9669196247600584,1.166464684202026,1.2995346078271242,0.9409252812288504,1.1788110318823934,1.0880106439732893,0.8322611938623329,1.1786238289572852,0.8252205923221975,1.1686020101362502,0.8599734700380717,0.7082851867604457,0.9496232521238828,0.4458174775278952,0.5273052413185422
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,0.5286296658756131,0.0263096144474074,0.1052384577896296,0.5156472708621377,-0.0256600328497129,16,0.4228393148257444,0.7656635051181181,0.5456466384193178,0.5015133132441485,0.5297812284801269,0.5922607318865457,0.4473101734518301,0.5305779196622792,0.4865976966593128,0.6642323168088939,0.6437761805923892,0.4555485276478424,0.4110011169363229,0.6268149319849016,0.4141708208330341,0.4203402374590014
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,1.262709257570708,0.13964681120835784,0.5585872448334314,1.1371841373876614,-0.013520146047246,16,2.500153848631701,1.106066103735473,1.0180692934390965,1.767996202274232,1.2950916039111895,1.9538978126820927,1.2639138969240042,1.1600025501495632,2.0087956457305656,0.925789350100932,1.433905871930604,0.9770188404527858,0.6997939343720034,1.1143657246257597,0.4472857642255117,0.531201677945811
Panel B: Composition Sensitivity,composition_threshold,C55,30,55,55,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,0.6435398855671385,0.042596143654998676,0.1703845746199947,0.6719134509811737,-0.016214623797361,16,0.8390083843861493,0.8284829547146672,0.5882397266195271,0.4884376897737589,0.7141259750348927,0.9958441645144872,0.4304880185221742,0.6806876731126446,0.7607021224697388,0.7473204116243188,0.6892456865032498,0.5220629532950274,0.5102307897122375,0.6631392288497029,0.417119510359288,0.4215028795823514
