city,origin_geoid,pct_Prs_Blw_Pov_Lev_ACS_15_19,pct_NH_White_alone_ACS_15_19,total_flow,od_flow,do_flow,num_connections,weighted_avg_asymmetry,net_flow
New York,360810283004,5.72,13.66,123130.0,29344.0,93786.0,4520,0.700251766425729,-64442.0
New York,360810283005,8.14,18.83,91948.0,47661.0,44287.0,4025,0.5505720624700918,3374.0
New York,360810284001,2.26,0.35,119092.0,77424.0,41668.0,4238,0.549675880831626,35756.0
New York,360810284002,15.78,0.57,67629.0,36453.0,31176.0,3532,0.6003489627230921,5277.0
New York,360810285001,14.38,38.42,43159.0,15077.0,28082.0,2574,0.6352556824764244,-13005.0
New York,360810285002,0.0,61.26,29190.0,21492.0,7698.0,2458,0.6502226789996575,13794.0
New York,360810285003,20.66,34.65,55508.0,30757.0,24751.0,3005,0.5550911580312747,6006.0
New York,360810285004,22.94,11.06,84379.0,31055.0,53324.0,4245,0.6516668839403169,-22269.0
New York,360810287001,13.14,37.75,48358.0,22629.0,25729.0,2910,0.5621407006079656,-3100.0
New York,360810287002,2.29,45.42,45909.0,15804.0,30105.0,3262,0.6302250103465551,-14301.0
New York,360810287003,10.08,27.85,127202.0,43434.0,83768.0,4832,0.5963585478215752,-40334.0
New York,360810287004,16.96,19.48,50865.0,37921.0,12944.0,2688,0.6832006291162882,24977.0
